udi,product_id,type,air_temperature,process_temperature,rpm,torque,tool_wear,machine_failure,twf,hdf,pwf,osf,rnf,power_consumption,temp_diff,type_encoded
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,6951.59056015735,10.5,1
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,6826.722724152667,10.5,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,7749.387542560967,10.399999999999977,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,5927.504658915661,10.400000000000034,0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,5897.816608339238,10.5,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,6252.554778807085,10.5,1
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,6917.703247400628,10.5,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,6428.264055922363,10.5,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,4992.639989035923,10.399999999999977,1
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,5104.878622573175,10.5,1
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,4459.993426595286,10.5,2
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,6601.4181710127195,10.5,2
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,7165.22933257697,10.5,1
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,5472.6544025534195,10.599999999999966,1
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,4176.852152702751,10.599999999999966,0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,7815.528539894543,10.599999999999966,0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,6397.602111623327,10.599999999999966,1
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,6733.061375173645,10.5,1
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,7453.6380101520235,10.399999999999977,2
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,5554.3358115467545,10.400000000000034,1
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,6148.358622463024,10.400000000000034,2
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,6802.595292573098,10.5,0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,5082.7513383163905,10.400000000000034,1
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,4731.3013681593,10.399999999999977,0
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,6097.339157768726,10.399999999999977,1
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,4540.784717670103,10.5,0
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,6175.114519896098,10.399999999999977,0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,4665.327922433915,10.299999999999955,2
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,6660.574360679817,10.299999999999955,0
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,5336.445417069278,10.399999999999977,0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,6758.592051471818,10.399999999999977,1
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,4801.296052481281,10.399999999999977,0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,7177.251160464705,10.399999999999977,0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,5666.647748912589,10.400000000000034,0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,5665.056008634771,10.300000000000011,1
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,7389.7799034800555,10.399999999999977,1
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,6076.122935381484,10.300000000000011,1
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,5907.115722593864,10.300000000000011,0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,7321.51309511755,10.300000000000011,2
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,7422.0126441058865,10.300000000000011,0
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,6475.3251138731375,10.300000000000011,0
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,7277.436550187684,10.300000000000011,0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,7033.900287681404,10.300000000000011,1
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,6968.261945172401,10.399999999999977,2
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,7322.005277966611,10.300000000000011,1
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,7656.050824822814,10.300000000000011,0
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,4979.36152408675,10.300000000000011,1
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,6875.207970773071,10.300000000000011,0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,8043.262591353267,10.399999999999977,2
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,6520.815375497118,10.300000000000011,1
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,1378.1748092277942,10.200000000000045,0
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,7951.025431043872,10.200000000000045,0
